numero,empresa,ciudades,habilidades
73,SpotMe,Sofia;Lausanne,ios;android;javascript;ios;android;javascript;couchdb;node.js;java;objective-c;github;swift;angularjs;vue.js;erlang;kotlin;python;terraform
74,Nordea,Pomeranian Voivodeship;Łódź;Stockholm,java;kotlin;springboot;java;kotlin;springboot;hybernate;kafka;sql;oracle;snowflake;python;angular;javascript;typescript;intelli;jira;splunk;kubernetes;docker
75,ServiceNow,Dublin;Sydney;San Diego,javascript;reactjs;java;javascript;reactjs;java;node.js;mariadb;mysql;postgresql;maven;linux;tomcat;puppet;mongodb
76,Fullscript,Ottawa;Scottsdale,kubernetes;rails;ruby;kubernetes;rails;ruby;react;graphql;javascript;typescript;apollo;php;sql;python;wordpress;go;golang
77,DraftKings,Boston;Las Vegas;Sofia,c#;.net;sql;c#;.net;sql;mysql;node.js;react;android;ios;objective-c;swift;apache-kafka;xamarin;f#;java;reactjs;typescript;python;r;tableau-api;excel;olap-cube;alation;jira;slack;confluence;rebass;redis;datadog;rabbitmq;asp.net-core;.net-framework-version;amazon-web-services;xamarin.android;xamarin.ios;snowflake-cloud-data-plat;dms;octopus;bamboo;git;bitbucket;elk;newrelic;amazon-kinesis;amazon-sqs;docker;chef-infra;powershell;ubuntu;vsphere;akamai;kotlin;redux;solidity;web3;postgresql;linux;aws
78,Ucraft,Warsaw;Yerevan;Tehran,reactjs;php;node.js;reactjs;php;node.js;python;ml;javascript;typescript;apache-kafka;laravel;rabbitmq;ant-design-pro;next.js;rasa;graphql;apollo;progressive-web-apps;kubernetes;google-kubernetes-engine;google-cloud-platform;tensorflow;computer-vision;nlp;bert-language-model;gpt;nlu
79,Tech @ RBC,No office location,java;pega;javac;java;pega;javac;javascript;c#;c
80,Covestro,Leverkusen;Krefeld;Brunsbüttel,javaee;nodejs;net;javaee;nodejs;net;angular;jsp;jsf;jenkins;nexus;git;ansible;cloudfoundry;docker
81,nventive,Montréal;Québec,c#;reactjs;.net;c#;reactjs;.net;vuejs;xamarin;uno-platform;azure;amazon-web-services;ios;android;node.js;react-native;azure-pipelines;docker;kubernetes
82,uShip,Austin,javascript;node.js;java;javascript;node.js;java;objective-c;c#;amazon-web-services;aws-lambda;amazon-eks;amazon-ecs;amazon-ec2;amazon-dynamodb;amazon-aurora;amazon-kinesis;amazon-sns;amazon-sqs;aws-api-gateway;amazon-cloudformation;amazon-cloudfront;amazon-s3;amazon-iam;react-native;reactjs;serverless-framework;terraform;asp.net;browserstack;appium;jestjs;github-actions;jenkins;sql-server;mongodb;dynamodb;snowflake-cloud-data-plat;github;agile
83,ImFusion GmbH,München,c++;opengl;opencl;c++;opengl;opencl;deep-learning;artificial-intelligence;tensorflow;image-processing;3d-reconstruction;confluence;python
84,Inpsyde,No office location,javascript;typescript;rest;javascript;typescript;rest;graphql;docker;docker-compose;html;php;css;wordpress;woocommerce;psr-11
85,QA Group,Edinburgh;Cheltenham;Glasgow,.net;core;mvc;.net;core;mvc;aws;azure;db;devops;managed;instance;blazor;blended;learning;browserstack;business;data;strategy;intelligence;c#;cicd;cosmodb;custom;academy;advisory;analytics;architecture;assessment;automation;catalogue;delivery;ecosystem;engineering;fabric;governance;certification;integration;lake;formation;literacy;maturity;risk;mesh;metric;modelling;ops;pipelines;quality;science;steward;tagging;teams;database;datastore;design;databricks;excel;gcp;looker;git;glue;gremlin;hybrid;informatica;bd;power;centre;intelligent;java;javascript;master;meta-data;ml;mongodb;ms;visual;studio;ms.net;my;sql;mysql;office;365;oracle;owaspzap;playwright;postgres;postman;automate;bi;query;powershell;purview;python;quicksight;react;redgate;toolbelt;resharper;s3;sharepoint;snowflake;snowql;sonarqube;sourcetree;spreadsheets;server;ssrs;tableau;talend;technical;terraform;testcafe;t-sql;whitesource;bolt
86,Assurance,Seattle;Fort Lauderdale;Toronto,ruby-on-rails;python;amazon-web-services;ruby-on-rails;python;amazon-web-services;twilio;terraform;reactjs;javascript;apache-spark;sql;postgresql;datadog;splunk;github;confluence;slack
87,"Netsmart Technologies, Inc.",Overland Park;Richardson,java;c#;angular;java;c#;angular;reactjs;javascript;css;postgresql;sql-server;mongodb;cache-control;amazon-web-services;azure;kubernetes;docker;.net
88,ZEISS Group,Oberkochen;Eggenstein-Leopoldshafen;Dublin,angular;swift;c#;angular;swift;c#;azure;javascript;python;c++;machine-learning;tensorflow;matlab;cuda;c;qt;artificial-intelligence;reactjs;typescript;unity3d;go
89,Yoco,Cape Town;Amsterdam;Johannesburg,scala;python;kotlin;scala;python;kotlin;aws;firebase;react;nativejs;typescript;swift;postgres;postgresql
90,Applied,London,javascript;vue.js;node.js;javascript;vue.js;node.js;amazon-web-services;docker;reactjs;serverless;lambda;jestjs;cypress;amazon-ecs;datadog;elasticsearch;css;devops;typescript
91,Canonical,Taipei City;London;Montreal,ubuntu;cloud;linux;ubuntu;cloud;linux;iot;go;python;openstack;kubernetes;security;kernel;saml;openid;oauth;pki;ldap;c;c++;charm;bash;css
92,CARIAD,Nürnberg;Wolfsburg;Mönsheim,python;java;android;python;java;android;c;c++;ios;azure;devops;azure-devops;tensorflow;pytorch;rust;canoe;jetbrains-ide;flexray;cuda;amazon-web-services;javascript;c#;embedded
93,IMC Trading,Amsterdam;Chicago;The Rocks,verilogvhdl;c++;fpga;verilogvhdl;c++;fpga;linux;multicast;computer-science;java;python;hadoop;matlab;udp;trading;algorithmic-trading;ip;tcp;software-engineering;software-design;go;docker;stl;boost;linux-kernel;machine-learning;bigdata;rtl;pandas;latency;performance;low-latency;apache-spark;optimization;numpy;apache-kafka;distributed-computing;kubernetes;c++17;airflow;dremio;apache-kafka-streams
94,Beamery,London;Remote;Berlin,node.js;react;golang;node.js;react;golang;kubernetes;gcp;kafka;mongodb;istio;terraform;google-cloud-functions;javascript;typescript
95,Sanofi,Toronto,artificial;intelligence;ai;artificial;intelligence;ai;machine;learning;ml
96,diconium group,Karlsruhe;Lisboa;Berlin,confluence;office365;jira;confluence;office365;jira;slack;skype;gitlab;maven;git;gradle;nexus;npm;docker;gruntjs;webpack;jenkins;gulp;runner;testng;junit;se;arma;katalon-studio;soapui;jasmine;docker-compose;amazon-web-services;kubernetes;nexus3;azure;google-cloud-platform;adobe-analytics;prometheus;grafana;fluentd;kibana;elasticsearch
97,NN Group N.V.,Den Haag,amazon-web-services;cloud;serverless;amazon-web-services;cloud;serverless;graphql;api;mobile;machine-learning;data-stream;react-native;typescript;lambda;azure;vmware;azure-devops;kubernetes;continuous-integration;azure-pipelines;java;c#;frontend;backend;angular;gitlab;node.js;.net;etl;vba;hibernate;oracle;tomcat
98,PHOENIX CONTACT GmbH & Co. KG,Blomberg,python;jupyter;android;python;jupyter;android;ios;windows;kubernetes;java;nginx;docker;keycloak;ejbca;circonus;mongodb;influxdb;sql;c#;asp.net-core;moryx
99,Enveil,Fulton,java;c;ansible;java;c;ansible;docker;spark;python;amazon-web-services;azure;gcp
